"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"236","2021-02-07",142642873.6,1685866.3633651,-1251344.97633993,0,8593675.76306764,181441.062657336,273212.690609351,5910.48237304626,42578632.0079339,79723507.3692281,52067393.3936665,"8_54_15"
"237","2021-02-14",140125960.3,1692043.35864549,-1264246.70297785,-129922.015824725,8467618.78522803,115474.526943519,260389.726908656,5910.48237304626,42541194.9702707,79723507.3692281,51688463.1315669,"8_54_15"
"238","2021-02-21",97489595.67,1698220.35392588,-1483290.14725675,0,8625190.18934014,56712.8113317072,242093.107080104,5910.48237304626,42524482.0732215,79723507.3692281,51669318.8700156,"8_54_15"
"239","2021-02-28",86607398.28,1704397.34920627,-1815279.33387034,0,8673672.82186774,45524.0566651776,228549.880549772,5910.48237304626,42518344.415209,79723507.3692281,51361119.6720006,"8_54_15"
"240","2021-03-07",37962702.24,1710574.34448666,-2017185.31656339,0,9015480.50830266,8041.86109937922,142043.683890665,5910.48237304626,42475373.3978899,79723507.3692281,51340238.9614789,"8_54_15"
"241","2021-03-14",3438460.58,1716751.33976706,-1999139.7894858,0,9209414.67466506,78.5266074705808,73487.3023305248,5910.48237304626,42451127.7891709,79723507.3692281,51457630.3254282,"8_54_15"
"242","2021-03-21",2895546.44,1722928.33504745,-1938009.07918729,0,9350015.93318767,0.0431087165206514,37350.6765219304,5910.48237304626,42440355.3086896,79723507.3692281,51618551.6997411,"8_54_15"
"243","2021-03-28",2545133.94,1729105.33032784,-2039028.38171296,0,9449406.82073257,0.0181667158912759,25729.2733057281,5910.48237304626,42436409.4268049,79723507.3692281,51607532.9699978,"8_54_15"
"244","2021-04-04",3319059.77,1735282.32560823,-2258543.30779229,0,9187597.16276496,0.0181667158912759,15649.6765785267,5910.48237304626,42536952.7570893,79723507.3692281,51222849.1147885,"8_54_15"
"245","2021-04-11",2381882.16,1741459.32088863,-2370852.02816762,0,9148810.47494256,0.0181667158912759,8431.09296669111,5910.48237304626,42594923.1699512,79723507.3692281,51128682.5311212,"8_54_15"
"246","2021-04-18",2634096.81,1747636.31616902,-2301100.67402188,0,9379105.70663767,0.140723719119357,4754.01174478828,5910.48237304626,42620889.8410007,79723507.3692281,51457195.824627,"8_54_15"
"247","2021-04-25",2775396.17,1753813.31144941,-2254204.91990369,0,9126992.96304246,0.232108001011796,3550.09470658474,5910.48237304626,42630441.1374226,79723507.3692281,51266503.3011984,"8_54_15"
"248","2021-05-02",2606033,1759990.3067298,-2404394.93223729,0,9347592.00761557,0.232108001011796,3335.32615433109,5910.48237304626,42853898.6933687,79723507.3692281,51566332.1161121,"8_54_15"
"249","2021-05-09",44078.7,1766167.30201019,-2517132.75701907,0,9357287.95232077,0.232108001011796,4777.79811039224,5910.48237304626,42980033.4473178,79723507.3692281,51597044.4572211,"8_54_15"
"250","2019-10-13",15703190.71,1450139.62977165,-528509.943277673,-412776.113144242,8129143.93876121,1.15122106120587,97.6239559251522,629.80080011481,11040969.2623253,105006370.382586,19679695.3504133,"9_85_10"
"251","2019-10-20",16903252.55,1457408.97882037,-1692582.33119188,0,7895252.77982141,31.7685800255304,141.159954165967,1740.40751384895,13649028.440522,105006370.382586,21311021.2040199,"9_85_10"
"252","2019-10-27",17041206.68,1464678.32786909,-1912840.85794322,0,7975117.76837261,74.1988895713537,169.611901654327,2338.98007272025,13711962.0408024,105006370.382586,21241500.0699648,"9_85_10"
"253","2019-11-03",44838814.19,1471947.67864667,-1756944.36099935,0,8052130.99618347,38298.1316170495,194.830042879925,2343.17448946783,13757849.0111524,105006370.382586,21565819.4611326,"9_85_10"
"254","2019-11-10",34654156.8,1479217.02942425,-1793779.74158054,-638525.781468682,8223270.86857844,123337.277766094,204.611319753376,2343.17448955027,13798934.845501,105006370.382586,21195002.2840299,"9_85_10"
"255","2019-11-17",36825456.94,1486486.37665113,-2087897.34870759,0,8454309.41107854,144419.55913192,65.1258797372308,2343.17448955027,13814028.8579417,105006370.382586,21813755.156465,"9_85_10"
"256","2019-11-24",39523546.72,1493755.72387801,-2338006.82116816,48371.1163445163,8360182.4812613,149683.825924725,2251.91052515207,2343.17448955027,13814412.994847,105006370.382586,21532994.4061021,"9_85_10"
