"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"44","Radio_S",8953114.61366905,42801987.9335339,0.00389074141788153,515686.601608842,0.00389158658067319,42801987.9335339,0.00389074141788153,515686.601608842,0.00389158658067319,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,196277706,2364791.63855422,0.32513646780638,0.322450924152832,0.00348176299588303,0.218068515298084,4.5857147173817,8233.64402009166,0.00912980631437676
"45","chicken",38920472.9469479,1665034920.01281,0.151353258067658,20060661.6869014,0.151386135642489,1665034920.01281,0.151353258067658,20060661.6869014,0.151386135642489,TRUE,-0.0398742167181099,0.2524728507292,0.00648159127391164,146.183167181546,11491264724.5323,0.715669109091781,16056034913.1787,1e-04,5,30,1,9,469,"9_30_5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","(Intercept)",56267258.3421788,4670182442.40084,0.424524026452429,56267258.3421788,0.424617838996801,4670182442.40084,0.424524026452429,56267258.3421788,0.424617838996801,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","trend",0.00977649332938489,146050533.839335,0.0132761324542874,1759644.98601608,0.0132790662523468,146050533.839335,0.0132761324542874,1759644.98601608,0.0132790662523468,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","season",0.0150040264991193,-62813463.7103237,-0.00570980360159588,-756788.719401491,-0.00571106537047197,-62813463.7103237,-0.00570980360159588,-756788.719401491,-0.00571106537047197,FALSE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","holiday",0.0193062614639254,-626035.898045918,-5.69072586392557e-05,-36825.6410615246,-0.000277902719768644,-626035.898045918,-5.69072586392557e-05,-36825.6410615246,-0.000277902719768644,FALSE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","cag_V",287105.226301191,830314053.983623,0.0754763373304021,10003783.7829352,0.0754930163092198,830314053.983623,0.0754763373304021,10003783.7829352,0.0754930163092198,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Influencer_S",9925565.58448461,83979901.9817563,0.00763385297471331,1011806.04797297,0.0076355399255719,83979901.9817563,0.00763385297471331,1011806.04797297,0.0076355399255719,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,380410712.15,4583261.59216867,0.630155088852325,0.633165184951425,0.00614426494265579,0.220761138683819,4.52978275960169,28160.7735237827,0.0168131047030329
"52","Social_Media_S",621055.078745755,4825384.2845515,0.000438632021537255,58137.1600548373,0.00043872895170709,4825384.2845515,0.000438632021537255,58137.1600548373,0.00043872895170709,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,26989500,325174.698795181,0.0447084433412947,0.036380910919061,0.00167615616787661,0.178787464923452,5.59323328639484,545.043577022961,0.004366905620941
"53","Radio_S",7649019.65259619,43829773.2374756,0.00398416807967457,528069.55707802,0.00398504851263353,43829773.2374756,0.00398416807967457,528069.55707802,0.00398504851263353,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,196277706,2364791.63855422,0.32513646780638,0.330453904129514,0.00749816253181143,0.223304898608687,4.47818210093264,17731.5920597482,0.0201432244284661
"54","chicken",128325165.426093,5285242398.71079,0.480433561547192,63677619.2615758,0.480539729141961,5285242398.71079,0.480433561547192,63677619.2615758,0.480539729141961,TRUE,-0.0378365624158947,0.252225366634796,0.0103287755237373,146.461250585102,11249075366.3997,0.700583592599054,16056034913.1787,1e-04,15,119,1,12,1903,"12_119_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
